NOMBRE.1,CVE_ART,DESCR
PÚBLICO EN GENERAL,TUE00244,"TUB COBRE 5/16""ØX165MM CIRCULA1.5KW127V"
PÚBLICO EN GENERAL,BP00242,BAN P INOX 115MMX235MM 1000W 127V T/TOR
PÚBLICO EN GENERAL,BP00243,BAN P INOX 55MMX235MM 450W 127V T/TOR
PÚBLICO EN GENERAL,RB00010,BOB 8020 CAL.19 1612W 127V CER-8CANALES
PÚBLICO EN GENERAL,BP00245,BAN P COMUN 100CMX21MM 900W220V T/TOR
PÚBLICO EN GENERAL,TU5/16X230MM,"TUBULAR  J"" 5/16"" 230MM 4500W 220V"""
PÚBLICO EN GENERAL,TUS00086,"TUB INOX 5/16""Øx120MTS LONG. 1000W 120V."
PÚBLICO EN GENERAL,CS14B1010A00,"CAS INOX 1/4""ØX1 1/4"" 100W 127V EXT.30CM"
PÚBLICO EN GENERAL,TUA00350,"TUB INOX 7/16""ØX280MM ""U"" 9000W260V PLAC"
PÚBLICO EN GENERAL,TP0001,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT
PÚBLICO EN GENERAL,TUA00405,"TUB COBRE 5/16""ØX225MM 2400W115V TAP"
PÚBLICO EN GENERAL,TUA00406,"TUB INOX 5/16""ØX20CM 2000W 220V ""J"" TAP"
PÚBLICO EN GENERAL,TUE00098,"TUB INOX 1/4""Øx185MM 900W 120V ""M"" T-90°"
PÚBLICO EN GENERAL,TP0016,"TERMOPAR CERAMICO T/K"" LONG 24"" CAL 8"""
PÚBLICO EN GENERAL,TP0026,"TERMOPAR K 3/16Ø X 1'  1/2 EXT. 3 MT"""
PÚBLICO EN GENERAL,TP0010,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 4 MT
PÚBLICO EN GENERAL,RP00178,REPARACION DE HORNO 780W 120V MAR-VULCAN
PÚBLICO EN GENERAL,TU5/16X203V240W,"TUB INOX 5/16""ØX203MM 1500W 240V U TAP1"""
PÚBLICO EN GENERAL,TP0001,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT
PÚBLICO EN GENERAL,RP00175,REPARACION SELLADORA PCS300
PÚBLICO EN GENERAL,CS12J2025A00,"CAS INOX 1/2""X5"" 250W 240V EXT30CM"
PÚBLICO EN GENERAL,TP0008,TERMOPAR J 3/16 Ø X1'  1/2 EXT.  8 MT
PÚBLICO EN GENERAL,TP0040,TERMOPAR J 3/16 Ø X 1' 1/2 EXT.  5 MT
PÚBLICO EN GENERAL,BO00056,BOB 8020 CAL.16 19MMØX1170MM 5300W 240V
PÚBLICO EN GENERAL,TUE00333,"TUB INOX 5/16""ØX437MM 1000W127V ""M"" ESPE"
PÚBLICO EN GENERAL,BL00054,BAN M/LUNA 208MMØX143MM 600W110V T/TOR
PÚBLICO EN GENERAL,RP00184,REPARACION DE TUBO DE CUARZO 500W127V
PÚBLICO EN GENERAL,TP0040,TERMOPAR J 3/16 Ø X 1' 1/2 EXT.  5 MT
PÚBLICO EN GENERAL,TUE00345,"TUB INOX 5/16""ØX27CM 2100W230V ""L"" PLACA"
PÚBLICO EN GENERAL,TP0001,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT
PÚBLICO EN GENERAL,TUE00034,"TUB INOX7 /16x115CMS CLIP15KW220V PLACA"""
PÚBLICO EN GENERAL,CS38C1008A00,"CAS INOX 3/8""ØX1 1/2"" 80W 127V EXT.30CM"
PÚBLICO EN GENERAL,TP0025,"TERMOPAR K 3/16Ø  X 1'  1/2 EXT. 2 MT"""
PÚBLICO EN GENERAL,RP00194,REPARACIÓN DE SELLADORA 30CM 146W 120V
PÚBLICO EN GENERAL,RP00193,REAPARACION DE HORNO 1800W 120V
PÚBLICO EN GENERAL,TEA00101,"TEA J 3/16""ØX12"" CONEC-5/16""ØX1"" EXT1MT"
PÚBLICO EN GENERAL,TP0005,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 3 MT
PÚBLICO EN GENERAL,TUE00101,"TUB COBRE 5/16""Øx250mm CLIP 2600W 110VTA"
PÚBLICO EN GENERAL,TU5/16X230MM,"TUBULAR  J"" 5/16"" 230MM 4500W 220V"""
PÚBLICO EN GENERAL,CAS00081,"CAS INOX 3/8""ØX8 1/2"" 500W 110V EXT.40CM"
PÚBLICO EN GENERAL,TP0024,"TERMOPAR K 3/16Ø X 1'  1/2 EXT. 1 MT"""
PÚBLICO EN GENERAL,BN00258,BAN A/COMUN 117MMØX100MM 1250W240V C/STD
PÚBLICO EN GENERAL,TU5/16X870J127V,"TUB INOX 5/16""ØX800MM 2000W127V ""J"" TBOY"
PÚBLICO EN GENERAL,CS38C1008A00,"CAS INOX 3/8""ØX1 1/2"" 80W 127V EXT.30CM"
PÚBLICO EN GENERAL,TUA00461,"TUB INOX 7/16""ØX690MM 1000W 127V ""U"" BUS"
